Club_ID,Club_Name,Primary language,Address (Street and Number),Zipcode,City,Province,Country,Participation Games 2015,Participation Games 2016,Participation Games 2017,Participation Games 2018,Participation Games 2019,Participation Games 2022,Participation Games 2023,Participation Games 2024,Participation Games 2025
177,"CERCLE SPORTIF ""LA SEVE""",French,Rue des 2 Tilleuls 45,4652.0,XHENDELESSE,Liège,BELGIQUE,1.0,True,False,False,False,,,,
178,LE JARDIN DES FÉES,French,Avenue de Jemappes 135B,7000.0,Mons,Hainaut,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
179,EQUI - VALENCE,French,Rue les Frès 6A,6470.0,RANCE,Hainaut,BELGIQUE,1.0,True,True,True,False,,1.0,1.0,1.0
180,PONY-CLUB HOF TE BEVER ASBL,French,"Place Albert 1er, 12/2",7070.0,MIGNAULT,,BELGIQUE,1.0,True,False,True,False,,,,
181,LA POMMERAIE,French,Rue Neuve 15,7972.0,ELLIGNIES-STE-ANNE,Hainaut,BELGIQUE,,True,True,True,True,1.0,1.0,1.0,1.0
182,LES CANAILLES,French,Rue des Beguines 4,4350.0,MOMALLE,Liège,BELGIQUE,1.0,True,False,False,False,,,,
183,LE BOIS ROUSSEL,French,Rue de Marchiennes 32,6110.0,MONTIGNY-LE-TILLEUL,Hainaut,BELGIQUE,1.0,False,True,True,False,,,1.0,1.0
184,OXYGENE,French,Chemin de Foresse s/n,5300.0,SCLAYN,Namur,BELGIQUE,0.0,False,False,False,False,,,,
186,SIROCCO,French,Rue Toûne 6,1461.0,HAUT-ITTRE,Brabant Wallon,BELGIQUE,1.0,False,True,False,False,,,,1.0
187,AU PETIT BONHEUR,French,Thier Saint Léonard 50,4460.0,Grâce-Hollogne,Liège,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
189,FOYER DE THÉMIS,French,Rue des fusillés 5,4141.0,Sprimont,Liège,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
191,LES SCORPIONS,French,Rue du Roi Chevalier 1A,7904.0,WILLAUPUIS,Hainaut,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
194,LES SPITANTS,French,Rue Cheneux 16,4540.0,AMAY,Liège,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
195,LE KOALA,French,Rue Walthère Dewé 60,4000.0,LIEGE,Liège,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
196,LES OLIVIERS SPORT,French,Rue de Herve 449,4030.0,GRIVEGNEE,Liège,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
197,L'ESCAPADE,French,Rue du Quinconce 16,7110.0,HOUDENG-AIMERIES,Hainaut,BELGIQUE,1.0,True,True,True,True,1.0,,,
198,LE CHEVREFEUIL,French,Rue de Préfayhai 21,4900.0,SPA,Liège,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
203,FUN GYM B/ DANS LES YEUX DE LISA,French,Rue du Fonteneau 12,1400.0,Nivelles,Brabant Wallon,Belgique,1.0,True,True,True,True,1.0,1.0,1.0,1.0
204,C.S. KANGOUROUS,French,Chée de Tirlemont 60,1370.0,JODOIGNE,Brabant Wallon,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
205,ASCENSION 2,French,chemin de la Motelette 12,7322.0,POMMEROEUL,Hainaut,,1.0,True,True,True,True,1.0,1.0,1.0,1.0
206,LA SOURIS VERTE,French,Chaussée de Roeulx 63,7000.0,MONS,Hainaut,,1.0,True,False,False,False,,,,
207,LES GRILLONS,French,Rue de Chèvremont 35,4051.0,VAUX-SOUS-CHEVREMONT,Liège,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
209,HAMA II,French,Rue Jules Lejeune 46,1050.0,BRUXELLES,Brussel/Bruxelles,BELGIQUE,,False,True,True,True,1.0,1.0,1.0,1.0
210,A.S. AURORE,French,Rue du Château 82,6150.0,ANDERLUES,Hainaut,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
211,LES BARRACUDAS,French,Rue de la Résistance 5,7610.0,RUMES,Hainaut,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
213,LA PASSERELLE,French,Rue Middelbourg 68,1170.0,BRUXELLES,Brussel/Bruxelles,BELGIQUE,1.0,False,True,False,False,,,,
214,L'ENVOLÉE,French,Rue Maison Communale 4,4802.0,HEUSY-VERVIERS,Liège,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
215,KEGELJAN,French,Rue Vandervelde 32,5190.0,HAM-SUR-SAMBRE,Namur,,1.0,True,True,True,True,1.0,1.0,1.0,1.0
217,GRAND AXHE,French,Rue Georges César 50,4300.0,WAREMME,Liège,,1.0,True,True,True,True,,,,
219,BOTHEY CLUB,French,Rue Louis Burteau 48,5032.0,GEMBLOUX,Namur,,1.0,True,True,True,True,1.0,1.0,1.0,1.0
221,INSTITUT DU BON PASTEUR,French,Rue d'Hoyaux 6,7602.0,BURY,Hainaut,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
222,CENTRE DE VIE,French,Avenue J.J. Crocq 8,1090.0,BRUXELLES,Brussel/Bruxelles,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
223,STARTEMIA,French,"Avenue des Champs, 129 b",1040.0,ETTERBEEK,Brussel/Bruxelles,,1.0,True,True,True,True,1.0,1.0,1.0,1.0
224,LE GARDIAN V3,French,Rue de Bidet 8,5590.0,CHAPOIS -LEIGNON,Namur,BELGIQUE,1.0,True,True,True,True,1.0,1.0,1.0,1.0
227,TOMA STENA,French,"Rue Entre-Deux-Bois, 55",4670.0,BLEGNY,Liège,,1.0,True,True,True,True,1.0,1.0,1.0,1.0
229,DREAM TEAM,French,Rue du Melkriek 100,1180.0,BRUXELLES,Brussel/Bruxelles,BELGIQUE,1.0,True,True,True,True,,,,
231,LE MAGNOLIA,French,"Omer Lescot, 12",7334.0,HAUTRAGE,Hainaut,,1.0,True,True,True,True,1.0,1.0,1.0,1.0
232,ORFEA,French,"Avenue des Champs, 129",1040.0,ETTERBEEK,Brussel/Bruxelles,,1.0,True,True,True,True,1.0,1.0,1.0,1.0
233,LES PETUNIAS,French,Avenue de la Couronne 554,1050.0,BRUXELLES,Brussel/Bruxelles,BELGIQUE,1.0,True,True,True,True,1.0,1.0,,1.0
